PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Emabarked
43,0,1,"Williams, Mr. James",male,,1,1,SOTON963458,137.54,nan,C
44,0,3,"White, Mr. James",male,,0,0,80317,12.96,nan,S
45,0,2,"Anderson, Mr. Henry",male,21.4,2,0,PC188884,26.93,nan,Q
46,0,3,"Thomas, Mr. Edward",male,,1,1,CA793415,5.69,nan,S
47,1,2,"Wilson, Mrs. Anna",female,,1,0,SOTON329773,2.03,nan,S
48,0,3,"Jackson, Mr. Charles",male,,0,1,659272,21.9,nan,S
49,0,3,"Brown, Mr. Thomas",male,40.9,1,2,CA15332,14.29,nan,S
50,0,1,"White, Mr. George",male,36.4,0,0,SC603083,59.85,nan,S
51,0,3,"Davis, Mr. William",male,53.4,1,0,SC108716,22.68,nan,S
52,0,3,"Smith, Miss Margaret",female,,0,1,CA971279,0.0,nan,S
53,1,3,"Brown, Miss Emma",female,,1,1,CA934510,16.63,nan,S
54,0,3,"Wilson, Rev. Thomas",male,14.7,4,0,SOTON64128,4.05,nan,Q
55,0,3,"Anderson, Mr. James",male,,0,0,SOTON857652,8.98,F117,S
56,0,3,"Moore, Mr. James",male,39.7,0,0,PC875325,18.55,nan,C
57,1,1,"Jackson, Mrs. Bertha",female,41.9,1,0,936450,14.79,nan,S
58,1,1,"Johnson, Miss Anna",female,25.9,0,0,110002,144.2,nan,S
59,0,1,"Wilson, Mr. Thomas",male,29.0,1,0,SC524897,111.79,C36,S
60,0,2,"White, Mr. Edward",male,8.7,0,0,PC18401,26.56,nan,S
61,1,2,"Anderson, Mrs. Clara",female,,0,0,SC889390,28.14,nan,Q
62,0,2,"Jackson, Dr. Henry",male,,3,0,777890,3.89,nan,S
63,1,3,"Taylor, Mrs. Elizabeth",female,38.1,0,0,SC275115,17.83,nan,C
64,0,2,"Wilson, Mr. Charles",male,,1,0,A/255572,10.3,F23,Q
65,0,2,"Smith, Mr. George",male,,0,0,PC541853,11.4,nan,S
66,0,3,"Johnson, Mr. William",male,30.1,0,0,257680,16.65,nan,Q
67,0,1,"Smith, Mr. William",male,20.8,0,0,SOTON82823,,nan,S
68,0,3,"Davis, Mr. William",male,,0,0,776469,5.52,D50,Q
69,1,1,"Miller, Mrs. Alice",female,35.9,1,0,SOTON442192,31.02,nan,S
70,0,3,"Brown, Mr. George",male,36.9,0,2,SOTON473415,29.23,nan,S
71,0,3,"Miller, Mr. Charles",male,22.6,0,0,PC258505,18.41,C118,C
72,0,1,"Williams, Mr. Henry",male,0.5,0,2,SC671432,0.0,E95,S
73,0,1,"Wilson, Mr. Thomas",male,45.4,1,0,SC360512,0.0,D67,S
74,0,3,"Miller, Mr. William",male,,0,0,CA150671,3.96,D67,S
75,0,3,"Taylor, Mr. James",male,17.9,1,2,167460,27.33,F18,nan
76,0,3,"Miller, Miss Emma",female,39.7,0,0,SOTON337880,14.51,nan,S
77,0,3,"Thomas, Mr. Henry",male,24.5,0,0,733792,6.94,F74,C
78,1,1,"Jackson, Mr. Edward",male,44.8,1,0,SOTON876055,192.34,A15,S
79,0,2,"Smith, Mr. Robert",male,,0,0,CA839714,52.51,nan,S
80,1,1,"Brown, Miss Ida",female,,0,0,PC199878,210.07,nan,S
81,1,3,"Thomas, Miss Margaret",female,,0,0,SOTON829426,27.88,C48,S
82,0,3,"Taylor, Miss Ida",female,,0,0,PC213668,7.87,nan,C
83,0,2,"Johnson, Mr. Thomas",male,,1,0,124189,32.38,G53,C
84,0,1,"Jones, Mr. Robert",male,24.8,0,3,SOTON769748,66.11,nan,Q
85,0,2,"White, Mr. Robert",male,32.0,1,0,CA813026,41.71,nan,S
86,0,2,"White, Mr. Thomas",male,5.1,0,0,SOTON905838,35.91,nan,S
87,0,3,"Brown, Mr. John",male,,0,1,PC630309,14.49,nan,Q
88,0,3,"Williams, Mr. Charles",male,15.6,2,0,PC291530,9.41,nan,C
89,0,3,"Johnson, Mr. Joseph",male,11.1,0,0,SC591940,0.0,nan,S
90,0,3,"Davis, Mr. William",male,,0,0,SOTON885555,9.91,nan,S
91,1,1,"Jackson, Miss Margaret",female,,0,0,SC900915,59.41,nan,Q
92,0,3,"Miller, Mr. Henry",male,,0,0,SC961930,18.81,nan,S
93,0,3,"Jackson, Mr. George",male,,0,1,SOTON477964,0.0,nan,S
94,1,3,"Miller, Miss Clara",female,22.5,0,3,SOTON90792,11.59,F61,S
95,0,3,"Jackson, Mr. William",male,,0,0,7088,0.0,nan,S
96,1,3,"Brown, Miss Ida",female,14.4,0,0,CA43044,22.92,nan,S
97,0,3,"Davis, Mr. Charles",male,,0,0,CA717748,21.63,nan,S
98,0,2,"Thomas, Mr. William",male,,0,0,300347,19.17,nan,S
99,1,1,"Jackson, Miss Minnie",female,22.3,0,2,SC109991,140.04,nan,S
100,1,1,"Taylor, Mrs. Margaret",female,,0,0,PC736043,71.7,nan,S
101,1,1,"White, Miss Alice",female,37.0,2,0,966488,33.95,G27,S
102,0,3,"Davis, Mr. Edward",male,,0,1,SOTON761292,16.7,A97,C
103,0,2,"White, Mr. Edward",male,50.3,1,0,SC367200,30.08,A90,Q
104,0,3,"Brown, Mr. James",male,25.0,0,0,A/477708,23.67,nan,S
105,0,3,"Miller, Mr. William",male,,0,0,A/455747,0.92,nan,S
106,1,2,"Miller, Mrs. Bertha",female,,0,1,A/172792,11.88,nan,Q
107,0,2,"Wilson, Mr. John",male,,0,0,CA515513,29.71,nan,S
108,1,3,"Jackson, Miss Ida",female,16.5,0,1,PC275006,1.95,B80,S
109,0,1,"White, Mr. Edward",male,,0,0,CA370992,148.18,nan,C
110,0,1,"Jackson, Mr. John",male,34.8,0,1,SC681882,8.91,nan,S
111,0,2,"White, Rev. James",male,,2,1,CA725764,28.99,nan,C
112,1,1,"Wilson, Miss Bertha",female,,0,0,CA393827,170.25,A130,C
113,1,3,"Harris, Miss Minnie",female,19.4,0,0,PC383968,8.81,A58,S
114,0,3,"Davis, Mrs. Margaret",female,26.8,1,0,SC610694,0.0,nan,S
115,1,3,"Smith, Mrs. Clara",female,17.1,0,0,SOTON783703,11.15,G88,S
116,1,3,"Thomas, Miss Emma",female,42.5,0,0,SOTON796046,19.59,nan,S
117,0,3,"Smith, Miss Mary",female,44.5,1,0,SOTON339781,0.0,A107,S
118,0,1,"Davis, Mr. Henry",male,4.2,1,0,A/21914,29.44,A55,S
119,0,3,"White, Mr. Joseph",male,17.0,1,0,SOTON272759,3.65,D112,S
120,0,3,"Jackson, Mr. John",male,,0,0,CA351733,7.69,nan,Q
121,1,3,"Jackson, Miss Emma",female,,0,0,CA452027,18.84,nan,S
122,0,3,"Johnson, Miss Emma",female,,2,0,CA310042,5.7,nan,S
123,0,2,"Moore, Mr. William",male,,0,1,A/318649,20.2,nan,S
124,1,1,"Wilson, Dr. Elizabeth",female,,0,0,A/386096,46.33,E37,S
125,1,1,"Taylor, Mrs. Ida",female,15.9,0,0,A/696635,77.55,nan,S
126,0,2,"Harris, Mr. Henry",male,32.9,0,2,SC934481,41.37,nan,S
127,0,3,"Moore, Mr. Joseph",male,,0,0,763430,0.0,nan,S
128,1,3,"Miller, Miss Emma",female,19.9,0,2,CA110822,19.78,nan,C
129,0,1,"Smith, Mr. Robert",male,,0,0,A/601898,69.11,nan,Q
130,1,3,"Harris, Mrs. Ida",female,,0,0,SC647812,2.98,nan,S
131,0,2,"Smith, Mr. George",male,,1,0,683931,0.0,nan,S
132,1,1,"White, Mrs. Margaret",female,,0,0,PC460187,183.26,nan,nan
133,1,1,"Harris, Mrs. Minnie",female,,0,0,569225,93.85,D137,S
134,1,2,"Williams, Miss Alice",female,,0,0,A/716003,12.81,nan,S
135,0,3,"Miller, Mr. Thomas",male,41.6,0,0,A/742898,3.25,A62,C
136,1,2,"Brown, Miss Minnie",female,41.4,0,0,SOTON323195,10.2,nan,S
137,1,3,"Jackson, Miss Elizabeth",female,,0,0,SC332095,20.73,nan,S
138,0,3,"Jones, Mr. George",male,41.5,1,0,912773,40.48,nan,S
139,1,2,"Moore, Miss Alice",female,51.5,2,0,PC161111,0.0,nan,Q
140,0,3,"Anderson, Mr. Thomas",male,14.3,0,0,SC944072,0.0,nan,C
141,0,3,"Jones, Mr. Edward",male,,0,2,SOTON139741,17.42,nan,S
142,0,2,"Taylor, Mr. Joseph",male,,0,0,740176,21.47,nan,S
143,0,3,"Taylor, Mr. Thomas",male,,1,2,CA691876,14.19,nan,S
144,0,2,"Harris, Mr. Robert",male,37.7,1,1,SC220684,17.55,nan,S
145,1,2,"Wilson, Mrs. Clara",female,34.8,0,0,523522,18.65,nan,S
146,0,1,"Wilson, Rev. Thomas",male,35.5,0,0,249738,130.22,C84,C
147,1,3,"Miller, Mrs. Emma",female,,1,0,89295,1.71,G91,C
148,0,3,"Jones, Mr. George",male,,0,0,SOTON311085,17.2,nan,Q
149,0,1,"Brown, Mr. Joseph",male,,0,0,SOTON916407,90.34,nan,S
150,0,2,"Taylor, Rev. William",male,,0,0,A/97500,3.48,F64,C
151,1,3,"Harris, Mrs. Minnie",female,29.4,0,0,A/163480,12.27,nan,C
152,0,1,"Jackson, Rev. Henry",male,,1,0,SC744781,176.37,D86,S
153,0,1,"Anderson, Mr. Charles",male,,2,0,364109,140.38,nan,C
154,0,3,"Harris, Mrs. Ida",female,,0,0,646141,0.0,F125,S
155,0,3,"Taylor, Mr. Robert",male,29.1,0,1,A/692486,17.82,nan,C
156,0,2,"Williams, Rev. Thomas",male,,0,0,SOTON398294,33.5,D121,S
157,0,3,"Jackson, Mr. George",male,,0,0,A/536425,24.72,nan,S
158,0,3,"White, Mrs. Margaret",female,,0,0,A/131119,10.16,nan,S
159,0,1,"Moore, Dr. John",male,,0,0,SC11165,77.69,nan,S
160,1,3,"Harris, Mrs. Elizabeth",female,29.7,0,0,A/407862,18.41,nan,S
161,0,2,"Brown, Mr. Thomas",male,27.6,0,0,SOTON924374,15.76,B124,S
162,1,3,"Thomas, Mrs. Alice",female,,0,0,293880,28.67,nan,S
163,1,3,"Anderson, Miss Minnie",female,,0,0,CA845516,30.06,C70,S
164,0,3,"Davis, Miss Emma",female,28.2,0,2,SOTON87665,22.71,nan,nan
165,0,1,"Davis, Mr. William",male,,0,2,A/663737,0.0,D108,Q
166,0,3,"Johnson, Miss Minnie",female,23.9,3,0,412037,9.63,nan,S
167,0,2,"Smith, Mr. Charles",male,7.5,0,0,PC468799,26.2,B79,C
168,0,1,"Miller, Mr. Thomas",male,54.5,0,0,CA391014,120.93,A42,S
169,0,1,"Taylor, Mr. Henry",male,,1,0,CA19277,106.69,nan,C
170,1,3,"Taylor, Mrs. Mary",female,,5,0,A/871194,14.59,F105,S
171,1,3,"Jones, Miss Mary",female,,0,0,SC345390,0.0,G112,S
172,1,1,"Moore, Mrs. Ida",female,,1,2,A/982001,86.65,nan,S
173,0,3,"Jones, Rev. James",male,,0,0,PC385938,9.17,nan,S
174,0,1,"Smith, Mr. Thomas",male,34.1,0,0,947181,138.72,nan,C
175,1,3,"Brown, Mrs. Elizabeth",female,26.7,0,0,SC5015,8.95,B119,C
176,0,1,"Jackson, Dr. Henry",male,,0,0,SC655593,122.67,nan,S
177,0,3,"Brown, Mr. Robert",male,20.3,1,0,A/321956,25.32,nan,S
178,0,2,"Jones, Mr. James",male,,0,3,A/10201,9.83,nan,C
179,0,3,"Brown, Mr. Henry",male,,0,0,PC908903,9.27,nan,C
180,1,1,"Taylor, Mr. John",male,,0,0,868073,61.76,A22,S
181,0,2,"Jackson, Mr. John",male,,0,0,A/722049,6.9,E142,S
182,0,1,"Harris, Mr. William",male,39.5,0,0,444155,0.0,nan,S
183,0,3,"Smith, Mr. Edward",male,50.8,1,0,156022,19.37,nan,S
184,1,3,"Williams, Miss Elizabeth",female,,1,0,724163,18.06,nan,S
185,0,2,"Anderson, Mr. Joseph",male,,1,0,A/460722,12.73,nan,S
186,0,3,"Smith, Mr. George",male,37.0,1,1,PC375261,26.81,nan,C
187,1,3,"Brown, Mrs. Mary",female,,0,0,CA521880,5.46,nan,S
188,0,3,"Smith, Mr. John",male,,1,0,A/793050,22.02,nan,Q
189,1,3,"Davis, Mrs. Ida",female,40.4,0,0,SC786648,2.54,nan,nan
190,1,2,"Johnson, Miss Alice",female,,0,1,A/800523,12.1,nan,Q
191,0,1,"Moore, Mr. John",male,12.7,0,0,SC802593,0.0,nan,S
192,0,3,"Miller, Dr. James",male,,0,0,SC28663,1.74,G14,C
193,1,3,"Davis, Mrs. Anna",female,42.4,0,0,400949,16.08,nan,S
194,1,3,"Wilson, Mrs. Alice",female,,0,0,CA759707,0.0,nan,S
195,0,2,"Wilson, Mr. George",male,,1,0,CA957632,21.08,D1,nan
196,0,2,"Miller, Mr. William",male,39.6,0,1,CA840537,18.3,nan,S
197,0,3,"White, Mr. Edward",male,,0,0,SC391523,13.91,nan,C
198,1,3,"Miller, Dr. Ida",female,,2,0,CA255928,8.94,nan,C
199,0,3,"Williams, Mr. William",male,63.1,0,0,SC617923,0.0,nan,S
200,0,3,"Taylor, Mrs. Mary",female,19.0,0,1,SOTON277386,4.0,G67,S
201,0,3,"Thomas, Mr. Edward",male,,0,0,748174,17.3,nan,S
202,0,1,"Davis, Mr. Charles",male,,0,0,PC421349,64.28,nan,S
203,0,1,"Miller, Mr. George",male,40.1,0,0,SC363772,164.29,nan,C
204,0,3,"Wilson, Mr. George",male,26.8,0,0,PC172139,25.73,nan,S
205,0,3,"Wilson, Mr. James",male,,0,0,CA135400,17.37,A136,Q
206,1,1,"Johnson, Mr. James",male,,0,0,SC26261,7.97,A143,S
207,0,1,"White, Mr. Henry",male,,0,0,PC163814,134.36,nan,S
208,1,3,"Jackson, Mrs. Bertha",female,,0,0,A/612830,0.0,nan,S
209,1,1,"White, Mr. Joseph",male,,0,0,A/232601,0.0,nan,S
210,0,1,"Smith, Mr. Robert",male,,1,0,CA507398,145.05,nan,S
211,1,3,"Johnson, Mrs. Margaret",female,19.3,0,0,SOTON796965,,nan,C
212,1,3,"Anderson, Mrs. Elizabeth",female,22.3,0,1,CA389034,28.42,nan,C
213,1,3,"Harris, Mrs. Alice",female,,1,2,SOTON407582,9.67,nan,S
214,1,1,"Anderson, Mrs. Minnie",female,,0,3,SOTON256019,0.0,D37,S
215,0,3,"Wilson, Mr. Charles",male,29.4,0,1,PC946829,10.87,nan,S
216,1,1,"Smith, Mr. Henry",male,30.4,0,0,810281,106.74,nan,S
217,1,2,"Wilson, Miss Margaret",female,,1,0,375116,56.72,nan,S
218,1,3,"Jackson, Mrs. Elizabeth",female,,1,0,A/738897,20.78,F20,S
219,0,3,"Moore, Mr. Edward",male,,0,0,127026,29.23,B139,C
220,0,3,"Anderson, Miss Minnie",female,23.1,1,0,CA9164,10.87,nan,S
221,0,3,"Johnson, Mr. James",male,,0,0,A/526407,15.4,nan,Q
222,0,3,"Miller, Mr. Edward",male,,0,0,SC832594,27.18,B87,S
223,0,1,"Taylor, Dr. James",male,,0,0,PC968182,0.0,nan,Q
224,0,2,"Anderson, Mr. Edward",male,,0,0,PC90074,7.63,nan,S
225,0,2,"Miller, Mr. Charles",male,,1,2,A/441844,15.56,A137,S
226,0,2,"Jones, Mr. Edward",male,41.1,0,0,787070,,G145,Q
227,1,3,"Wilson, Mrs. Bertha",female,34.8,0,0,SOTON30738,,nan,S
228,0,2,"Harris, Mr. George",male,,2,2,CA249433,12.67,nan,S
229,0,3,"Taylor, Mr. Robert",male,,0,0,CA385592,6.31,nan,C
230,1,3,"Davis, Miss Anna",female,,0,0,586356,1.91,nan,C
231,1,3,"White, Mrs. Anna",female,21.4,0,0,96672,15.79,C9,nan
232,0,3,"Thomas, Mrs. Elizabeth",female,,1,0,224773,0.0,nan,S
233,0,3,"Brown, Mrs. Bertha",female,,1,1,CA657994,9.83,E76,S
234,0,3,"Smith, Mrs. Mary",female,71.3,0,0,CA525381,15.7,nan,Q
235,0,1,"Jackson, Rev. George",male,47.4,0,0,A/545038,123.55,nan,S
236,0,3,"Wilson, Mr. Robert",male,,0,0,SC244707,0.0,nan,S
237,0,2,"Wilson, Mr. William",male,,1,0,A/803904,6.39,nan,S
238,1,1,"White, Mr. Thomas",male,36.7,0,2,CA19934,28.78,nan,S
239,0,3,"Brown, Mr. Charles",male,,0,0,CA302269,28.74,nan,S
240,1,1,"Johnson, Mrs. Alice",female,,2,0,480757,0.0,nan,S
241,0,3,"Taylor, Mr. William",male,26.4,0,0,876137,3.32,nan,S
242,0,3,"Taylor, Mr. Joseph",male,,0,0,A/340636,15.96,nan,S
243,0,3,"Davis, Mr. Edward",male,34.6,0,2,A/321168,10.63,nan,S
244,1,2,"Harris, Miss Ida",female,31.2,2,0,CA289351,19.67,nan,S
245,1,1,"Moore, Mr. Joseph",male,,0,0,A/761817,143.01,nan,C
246,1,3,"Brown, Miss Elizabeth",female,26.8,0,0,PC848694,6.16,nan,S
247,0,2,"Wilson, Mr. James",male,,0,1,SOTON258091,12.15,nan,S
248,0,3,"Moore, Mr. George",male,32.5,0,0,SOTON669425,27.61,nan,Q
249,0,3,"Miller, Mr. Edward",male,71.8,0,1,A/158873,7.45,nan,S
250,0,3,"Smith, Miss Mary",female,,0,0,SC947734,6.31,nan,S
251,0,2,"Brown, Dr. Henry",male,,5,2,A/478158,23.88,A120,S
252,1,2,"Davis, Mrs. Clara",female,42.9,0,0,PC567805,9.95,nan,C
253,0,3,"Davis, Mr. Edward",male,,0,0,SOTON251714,0.0,nan,C
254,0,2,"Brown, Mr. William",male,,0,0,A/719131,21.13,nan,Q
255,1,1,"Thomas, Miss Alice",female,,0,0,PC667409,71.65,B106,C
256,1,3,"Johnson, Mrs. Alice",female,58.8,1,2,CA763662,17.64,nan,S
257,1,3,"Davis, Mrs. Alice",female,14.2,0,1,398871,12.34,nan,S
258,1,3,"Harris, Mrs. Clara",female,,0,0,A/785891,0.0,nan,S
259,1,3,"Johnson, Mrs. Bertha",female,,0,0,SC808864,4.09,nan,S
260,1,1,"Williams, Miss Emma",female,37.8,0,0,CA497392,102.82,F143,S
261,1,3,"Harris, Miss Alice",female,,0,0,PC766573,4.34,F125,S
262,1,3,"Jackson, Mrs. Ida",female,24.2,0,0,PC630323,15.24,nan,S
263,1,1,"Jackson, Mrs. Margaret",female,,1,0,276894,156.03,C50,C
264,0,3,"Harris, Mr. James",male,43.7,2,0,SOTON773221,23.59,nan,S
265,1,3,"Williams, Mrs. Emma",female,,0,0,SOTON813597,0.0,nan,S
266,0,3,"Smith, Dr. Edward",male,12.6,2,0,549634,37.16,nan,S
267,1,3,"Thomas, Mrs. Anna",female,30.8,0,0,SOTON4514,21.44,nan,S
268,1,3,"Davis, Miss Alice",female,20.1,0,0,60207,12.98,nan,S
269,0,2,"Miller, Mr. Robert",male,12.4,0,3,CA150389,,nan,S
270,1,2,"Thomas, Mrs. Alice",female,27.0,0,0,CA25881,0.0,nan,S
271,0,3,"Thomas, Mr. Charles",male,,0,0,CA230905,0.0,B105,C
272,0,3,"Harris, Mr. Robert",male,,0,0,SOTON59308,10.52,E112,Q
273,1,3,"Anderson, Miss Anna",female,36.1,0,1,SOTON190086,0.0,nan,S
274,0,3,"Williams, Mr. Joseph",male,,0,0,SC254267,15.12,nan,S
275,1,3,"Smith, Miss Emma",female,,0,0,CA350117,17.02,B84,S
276,1,3,"Harris, Miss Anna",female,44.3,1,0,SC511576,12.57,F49,Q
277,0,3,"Davis, Mr. Charles",male,,0,0,CA545716,5.8,nan,S
278,0,3,"Brown, Mr. Robert",male,7.8,0,0,PC460387,0.0,nan,S
279,0,3,"Davis, Mr. John",male,3.7,0,1,CA61843,17.11,nan,C
280,0,3,"Miller, Mr. Henry",male,,0,1,SOTON343313,29.01,nan,S
281,0,3,"Taylor, Miss Minnie",female,,1,0,SC436293,6.5,E113,S
282,0,2,"Thomas, Mr. Thomas",male,,0,0,A/901514,11.83,nan,S
283,0,2,"Jackson, Mr. James",male,37.5,0,2,767079,21.29,E131,S
284,0,1,"Harris, Dr. Charles",male,,1,0,CA728498,121.39,nan,S
285,0,3,"Taylor, Mr. Joseph",male,,0,1,764488,8.67,A138,S
286,1,1,"Williams, Miss Mary",female,,0,0,234151,282.82,nan,C
287,0,3,"Smith, Dr. Edward",male,42.9,0,2,SC480221,4.64,nan,S
288,1,3,"Brown, Mrs. Mary",female,15.8,1,0,SOTON127283,8.67,nan,S
289,0,2,"Thomas, Mr. George",male,,0,2,CA535843,24.77,nan,S
290,1,3,"Johnson, Miss Minnie",female,,0,0,PC915493,0.0,nan,C
291,0,1,"Davis, Mr. Robert",male,,0,0,PC444409,151.92,nan,S
292,1,1,"Brown, Mr. Edward",male,,0,2,SOTON393838,,nan,S
293,1,3,"Anderson, Miss Ida",female,24.3,0,0,A/102173,0.91,nan,S
294,0,2,"Miller, Mr. Charles",male,,0,0,A/102980,19.41,nan,C
295,1,1,"Williams, Mrs. Margaret",female,39.1,0,0,CA914084,46.89,nan,S
296,0,3,"Wilson, Miss Anna",female,42.0,2,1,A/105122,5.64,nan,S
297,0,3,"Williams, Mr. Joseph",male,26.7,1,2,A/921644,2.24,G21,S
298,0,1,"Taylor, Mr. John",male,,0,0,CA149455,0.0,nan,C
299,1,3,"Jones, Mrs. Mary",female,9.7,1,1,732520,19.08,B72,S
300,0,1,"Miller, Mr. Charles",male,,0,0,PC153935,0.0,nan,S
301,1,1,"Johnson, Mr. Henry",male,,0,0,A/798809,98.89,nan,C
302,0,3,"Taylor, Mr. James",male,66.7,0,0,CA716883,15.21,nan,C
303,0,3,"Williams, Mr. John",male,,1,0,SOTON146942,15.83,nan,S
304,0,3,"Johnson, Mr. Robert",male,50.5,1,0,SC450167,9.21,nan,nan
305,0,3,"Smith, Miss Alice",female,,0,3,SOTON650054,4.76,nan,S
306,1,3,"Taylor, Mrs. Anna",female,33.9,2,0,261637,16.72,nan,S
307,0,3,"Williams, Miss Clara",female,54.6,0,0,SC239976,7.0,nan,C
308,1,2,"Wilson, Mrs. Anna",female,,1,3,A/659281,21.39,nan,S
309,0,3,"Harris, Mr. John",male,35.4,3,0,PC333414,0.0,nan,S
310,1,2,"Thomas, Mrs. Ida",female,,0,1,817760,28.14,nan,S
311,0,2,"Moore, Mr. Joseph",male,47.1,1,0,SC286282,18.96,nan,S
312,0,1,"Jackson, Mr. Robert",male,,0,1,493356,117.71,nan,S
313,0,1,"Thomas, Mr. James",male,,0,0,PC518681,30.85,nan,C
314,0,3,"Miller, Mr. Henry",male,11.5,0,2,SOTON796460,6.07,nan,C
315,1,3,"Moore, Dr. Emma",female,,0,0,671792,22.51,nan,S
316,1,3,"Taylor, Miss Elizabeth",female,,2,0,SOTON351771,0.0,nan,S
317,0,2,"Williams, Mr. Henry",male,29.1,0,0,PC213194,,nan,Q
318,0,1,"Jackson, Mr. Thomas",male,,0,0,PC551261,121.08,nan,S
319,1,1,"Thomas, Mrs. Emma",female,23.6,1,0,CA161045,133.33,nan,S
320,0,2,"Moore, Mr. Thomas",male,29.4,2,0,SOTON785313,25.88,nan,S
321,0,3,"Jones, Mr. William",male,30.8,0,0,SC362523,17.24,nan,S
322,0,3,"Thomas, Mr. Thomas",male,41.9,3,0,A/749112,20.73,nan,S
323,1,3,"Smith, Miss Clara",female,0.5,0,0,SC476135,15.65,nan,S
324,1,2,"Moore, Mrs. Elizabeth",female,,1,0,621473,3.98,B92,S
325,0,3,"Harris, Mr. James",male,33.0,0,0,SC117351,17.06,nan,S
326,0,3,"Johnson, Mr. Robert",male,46.8,0,0,A/209976,14.37,nan,S
327,1,3,"Thomas, Mrs. Margaret",female,,0,0,SC183277,23.3,nan,C
328,1,3,"Jones, Miss Mary",female,,0,0,CA527708,21.55,nan,C
329,0,2,"Harris, Mr. George",male,38.7,0,0,PC464069,27.68,F54,S
330,1,2,"Jones, Miss Alice",female,,0,0,SC90897,18.61,nan,S
331,0,2,"White, Rev. James",male,,0,1,PC125826,45.25,G77,Q
332,0,3,"Williams, Mr. James",male,21.3,1,0,A/516131,6.95,nan,S
333,1,1,"Johnson, Mrs. Bertha",female,,0,0,SC181161,136.33,nan,C
334,0,1,"Brown, Mr. Thomas",male,,0,0,SC786968,131.1,nan,S
